
,name,team,opp,hmcrt_adv,mp,pts,ast,trb,stl,blk,fg3,ts_pct,efg_pct,fg3a_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,usg_pct,off_rtg,def_rtg,bpm,date
92,M.Christie,Los Angeles Lakers,Denver Nuggets,1,0.57,0,0,1,0,0,0,,,,100,0,60.2,0,0,0,0,221,130,15.5,50000000020
93,M.Beasley,Los Angeles Lakers,Denver Nuggets,1,0.57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,46.5,0,130,-50.3,50000000020
94,T.Brown,Los Angeles Lakers,Denver Nuggets,1,0.57,2,0,1,0,0,0,0.5,0.5,0.5,100,0,60.2,0,0,0,92.9,129,130,17.4,50000000020
95,L.Walker,Los Angeles Lakers,Denver Nuggets,1,18.48,9,2,1,0,0,2,0.666,0.6,0.8,5.7,0,3,15.5,0,0,15.9,150,130,4.8,50000000020
97,R.Hachimura,Los Angeles Lakers,Denver Nuggets,1,33.44,13,1,6,1,0,1,0.505,0.458,0.25,3.2,18.2,10.2,4.6,1.5,0,18.2,102,124,-2.3,50000000020
88,J.Murray,Denver Nuggets,Los Angeles Lakers,0,41.36,37,6,7,2,0,5,0.619,0.603,0.379,0,17.9,9.6,25.9,2.4,0,35.2,122,111,8.2,50000000020
99,D.Russell,Los Angeles Lakers,Denver Nuggets,1,20.01,3,4,3,0,0,1,0.188,0.188,0.75,0,18.4,8.6,26.9,0,0,24.3,49,128,-16.3,50000000020
107,A.Davis,Los Angeles Lakers,Denver Nuggets,1,41.52,28,1,18,0,2,0,0.651,0.611,0,12.7,38.2,24.6,4.5,0,4.9,23.7,134,121,6.1,50000000020
100,J.Green,Denver Nuggets,Los Angeles Lakers,0,23.27,5,1,4,0,0,1,0.833,0.833,0.667,0,18.2,9.7,5.1,0,0,6.1,162,116,-2.4,50000000020
105,C.Braun,Denver Nuggets,Los Angeles Lakers,0,3.22,0,0,1,0,0,0,,,,0,31.7,17,0,0,0,0,0,111,-9.9,50000000020
104,M.Porter,Denver Nuggets,Los Angeles Lakers,0,38.06,14,6,10,1,0,4,0.589,0.545,0.909,3.2,25.2,15,19.4,1.3,0,14.8,136,111,5.8,50000000020
106,L.James,Los Angeles Lakers,Denver Nuggets,1,42.57,23,12,7,0,0,3,0.521,0.5,0.474,0,20.1,9.3,46.2,0,0,24.7,116,128,6.5,50000000020
103,B.Brown,Denver Nuggets,Los Angeles Lakers,0,28.48,15,5,5,1,0,1,0.631,0.591,0.455,8.5,11.1,9.9,24.5,1.8,0,19.5,145,114,4.6,50000000020
102,A.Gordon,Denver Nuggets,Los Angeles Lakers,0,32.12,7,4,3,0,1,0,0.518,0.4,0.2,3.8,6.6,5.3,14.5,0,2.9,11.4,120,118,-2,50000000020
98,S.Harrison,Los Angeles Lakers,Denver Nuggets,1,0.57,0,1,0,0,0,0,,,,0,0,0,100,0,0,0,226,130,12.1,50000000020
101,A.Reaves,Los Angeles Lakers,Denver Nuggets,1,39.4,23,5,7,1,0,3,0.91,0.85,0.5,5.4,15.5,10.1,20.5,1.3,0,18.5,140,125,8.7,50000000020
116,G.Vincent,Miami Heat,Boston Celtics,0,40.06,9,0,2,2,0,1,0.461,0.313,0.5,0,6,3,0,2.5,0,11.7,94,111,-6.2,50000000019
113,M.Brogdon,Boston Celtics,Miami Heat,1,26.03,13,2,4,1,2,1,0.604,0.5,0.556,0,18.4,9.2,12.4,1.9,5.6,22.5,107,110,3.5,50000000019
114,R.Williams,Boston Celtics,Miami Heat,1,23.12,13,1,3,1,2,0,0.962,1,0,5.2,10.3,7.8,7.8,2.2,6.3,17.3,144,112,8.6,50000000019
112,G.Williams,Boston Celtics,Miami Heat,1,25.34,9,2,2,0,1,1,0.75,0.75,0.333,4.7,4.7,4.7,12.7,0,2.8,10.8,156,121,4.4,50000000019
